"","x"
"1",0.826757009061443
"2",0.0430979972110141
"3",0.852229175270071
"4",0.159642358983163
"5",0.21768589468442
"6",0.128695803469429
"7",0.261204926417546
"8",0.131192185548461
"9",0.105599735133596
"10",0.0348277968129635
"11",0.0401745614168828
"12",0.41078633899373
"13",0.105785562561637
"14",0.0429432522246277
"15",0.94361383197646
"16",0.0131456188720271
"17",0.0773622326702526
"18",0.140350681881647
"19",0.0134814042144673
"20",0.193130536129421
"21",0.00436586511876607
"22",0.463833144296135
"23",0.0102631456163049
"24",0.135233747820077
"25",0.208244446221655
"26",0.00404825673615953
"27",0.890437423787117
"28",0.0104699768713026
"29",0.00165659584540089
"30",0.11129729585653
"31",0.120618972030544
"32",0.0263890180125071
"33",0.257889096349223
"34",0.010397759201322
"35",0.398305079086558
"36",0.00123912799768989
"37",0.747092509135139
"38",0.0593911703258868
"39",0.609218816953904
"40",0.0192618521414471
"41",0.0476133051470658
"42",0.0369904121089511
"43",0.907380258374677
"44",0.072810987794037
"45",0.0372699125303535
"46",0.00633690265295622
"47",0.0352295399827442
"48",0.262424330927097
"49",0.449426604251826
"50",0.0224182365148497
"51",0.86276981644129
"52",0.592564826070464
"53",0.19036506557901
"54",0.282708830429067
"55",0.813558049242845
"56",0.163092694886899
"57",0.132297200872145
"58",0.582267482308734
"59",0.00983598339201322
"60",0.00930002128558596
"61",0.067025484788336
"62",0.0575828913352259
"63",0.0135568924984442
"64",0.196822113998669
"65",0.00164150306167738
"66",0.0104072121982466
"67",0.312407048430293
"68",0.0192362814187741
"69",0.115230586294557
"70",0.642079415581653
"71",0.242923943196661
"72",0.0041515624207153
"73",0.212388365124191
"74",0.0133887902566607
"75",0.0787537390289711
"76",0.00523232641331879
"77",0.237383849725256
"78",0.0917133883864002
"79",0.0365416416911486
"80",0.158054075824045
"81",0.242063920694078
"82",0.182813320998194
"83",0.013011432871033
"84",0.0498551503195046
"85",0.0590693975159235
"86",0.0141412538346108
"87",0.244227503617477
"88",0.0183619786836469
"89",0.00940000865459562
"90",0.0602848551908964
"91",0.00659556950971089
"92",0.403377546529223
"93",0.1651182046406
"94",0.141483676079071
"95",0.233942902808134
"96",0.0268869248021918
"97",0.0621836463904083
"98",0.0120913996457285
"99",0.0181290676835031
"100",0.0399204903468181
"101",0.254120264771677
"102",0.132664459941068
"103",0.810175024744012
"104",0.0351039027732695
"105",0.00326232596583996
"106",0.00238993571118814
"107",0.107062939010258
"108",0.461402846061097
"109",0.0368829794742888
"110",0.379194666072514
"111",0.201894283961987
"112",0.89604475556227
"113",0.015314403308731
"114",0.0294467903431838
"115",0.0533393063466993
"116",0.0462349271619126
"117",0.046436956068681
"118",0.0507542417182892
"119",0.101776152871351
"120",0.0603404448927192
"121",0.204242324571934
"122",0.048073590967288
"123",0.49767943105571
"124",0.0195377154736052
"125",0.810053136082848
"126",0.0420644407007268
"127",0.000865782727588236
"128",0.930159676132773
"129",0.0602236230390227
"130",0.0192179015419724
"131",0.0463394268478233
"132",0.141343697960286
"133",0.704982851448594
"134",0.161533281379516
"135",0.0150891273976987
"136",0.0188984883915487
"137",0.156780973966443
"138",0.0167288406010201
"139",0.228287604328238
"140",0.1469088858716
"141",0.313685757400473
"142",0.139203228127217
"143",0.0546831545459988
"144",0.103538360333068
"145",0.0171910641167432
"146",0.00913754530425892
"147",0.0413701172730473
"148",0.0722637282014362
"149",0.055711670413099
"150",0.242101516493295
"151",0.0536285237782888
"152",0.0371514764218578
"153",0.342074964999947
"154",0.136310899005531
"155",0.0696957661915089
"156",0.00645497198128947
"157",0.0516992941593227
"158",0.507534522000912
"159",0.148662600113945
"160",0.0454851217849657
"161",0.013775901831617
"162",0.0144945695340745
"163",0.0414273003105259
"164",0.0888565156463123
"165",0.230410771113764
"166",0.0529835640357873
"167",0.12619530543642
"168",0.0101707165383148
